Names
आशोक सापकोटा
गणेश रेम्जी
प्रदीप श्रेष्ठ
दिपेश सुबेदी
प्रवीण सुबेदी
अर्जुन पाण्डे
सन्दीप रेम्जी
श्याम दाहाल
नरेंद्र थापा
अर्जुन श्रेष्ठ
मिलन छेत्री
मिलन बस्नेत
मनिष बिष्टा
रबिन आचार्य
सुनील तिमल्सिना
शिवा रेम्जी
अर्जुन पौड्याल
सुरेन मगर
प्रदीप ज्ञवाली
विकास पाण्डे
रमेश तामांग
शिवा रिजाल
मिलन श्रेष्ठ
सुनील पौडेल
रमेश गुरुङ
हरि बिष्टा
सन्दीप छेत्री
निरज बस्नेत
रबिन प्रधान
सुनील अधिकारी
किरण शर्मा
शिवा ज्ञवाली
नरेंद्र न्योपाने
अनिल भण्डारी
प्रशान्त खत्री
किरण खत्री
प्रदीप कार्की
नरेन खतिवडा
प्रवीण बिष्टा
दिनेश आचार्य
रमेश देवकोटा
महेश्वर भण्डारी
पवन राय
बिश्नु खतिवडा
राम पोखरेल
सरोज आचार्य
सुरेन दाहाल
मनिष आचार्य
गणेश सापकोटा
विकास पौडेल
बिबेक भण्डारी
आशोक अर्याल
निरज पौडेल
सुनील छेत्री
मनिष पौडेल
मिलन ज्ञवाली
महेश्वर न्योपाने
निरज खतिवडा
प्रशान्त सुबेदी
विजय थापा
अनिल पौड्याल
राजन प्रधान
सुमन अर्याल
हरि शर्मा
आशोक छेत्री
पवन रिजाल
महेश्वर पौड्याल
प्रदीप न्योपाने
रमेश बिष्टा
सन्तोष पौड्याल
अनिल न्योपाने
महेश्वर पौडेल
श्याम प्रधान
अर्जुन धमला
राम भुसाल
निरज थापा
राम रिजाल
दीपक अर्याल
प्रवीण प्रधान
सन्तोष कार्की
सरोज मगर
निरज भण्डारी
अर्जुन देवकोटा
दिनेश थापा
दिनेश धमला
पवन अर्याल
श्याम दाहाल
पवन बिष्टा
प्रशान्त गुरुङ
रमेश आचार्य
प्रशान्त प्रधान
सुमन पाण्डे
दीपक पोखरेल
निरज ज्ञवाली
विकास बस्नेत
शिवा तिमल्सिना
मिलन पौड्याल
हरि भट्टराई
रोशन दाहाल
सुनील सापकोटा
जितेन्द्र बिष्टा
नरेंद्र तामांग
सुनील दाहाल
राम न्योपाने
पवन सुबेदी
अर्जुन तिमल्सिना
प्रवीण ज्ञवाली
कृष्ण श्रेष्ठ
अर्जुन न्योपाने
रमेश घिमिरे
कृष्ण तिमल्सिना
गणेश बिष्टा
आशोक भट्टराई
राजन भुसाल
आशोक पन्ता
सन्दीप रेम्जी
महेश्वर शर्मा
बिमल ज्ञवाली
रबिन खत्री
सुरेश खतिवडा
बिमल घिमिरे
निरज गुरुङ
सन्तोष राय
दिपेश तामांग
रबिन बज्राचार्य
निरज सापकोटा
बिश्नु श्रेष्ठ
सरोज बिष्टा
बिश्नु रेम्जी
अर्जुन घिमिरे
आशोक सुबेदी
महेश्वर गुरुङ
गणेश पाण्डे
रमेश अधिकारी
सन्दीप प्रधान
दिनेश खतिवडा
बिश्नु खत्री
मनिष सापकोटा
विजय बिष्टा
शिवा भट्टराई
विकास तिमल्सिना
पवन कार्की
बिमल आचार्य
विजय अर्याल
अनिल पोखरेल
सुरेन आचार्य
सुमन प्रधान
गणेश श्रेष्ठ
रमेश रिजाल
निरज दाहाल
मिलन शर्मा
निरज केसी
सन्दीप दाहाल
राम तामांग
अर्जुन बिष्टा
प्रदीप पोखरेल
रमेश थापा
गणेश पन्ता
मनिष दाहाल
सरोज खत्री
हरि दाहाल
सरोज पाण्डे
गणेश मगर
राम बज्राचार्य
सुनील पौड्याल
महेश्वर बिष्टा
विकास सुबेदी
महेश्वर राय
राजन रिजाल
विकास तामांग
बिबेक शर्मा
हरि केसी
दिनेश न्योपाने
कृष्ण न्योपाने
दीपक सुबेदी
गणेश शर्मा
नरेंद्र दाहाल
किरण अर्याल
किरण पोखरेल
गणेश बस्नेत
पवन शर्मा
किरण घिमिरे
निरज अधिकारी
मनिष देवकोटा
नरेन बस्नेत
सरोज घिमिरे
बिमल रिजाल
प्रशान्त तामांग
जितेन्द्र न्योपाने
किरण प्रधान
रोशन श्रेष्ठ
प्रशान्त आचार्य
शिवा पन्ता
मिलन घिमिरे
मनिष तिमल्सिना
प्रदीप रेम्जी
बिबेक अर्याल
दीपक भण्डारी
जितेन्द्र खत्री
बिबेक खत्री
निरज भट्टराई
दिपेश घिमिरे
अनिल थापा
किरण न्योपाने
शिवा शर्मा
जितेन्द्र गुरुङ
दिपेश दाहाल
सुरेन कार्की
अर्जुन भण्डारी
कृष्ण अधिकारी
महेश्वर पन्ता
सुरेश पौडेल
नरेंद्र बिष्टा
हरि धमला
विकास पन्ता
सुमन छेत्री
विजय कार्की
